19, 6a5657d4, 95a9a82b,                71511,                  171
19, 00000000, 00000000,                71675,                  164
1f, 6358fbc6, 9ca70439,                71845,                  170
1f, 00000000, 00000000,                72010,                  165
16, 621e83c4, 9de17c3b,                72180,                  170
16, 00000000, 00000000,                72345,                  165
06, 92747824, 6d8b87db,                72515,                  170
06, 00000000, 00000000,                72680,                  165
0f, 9d02b63a, 62fd49c5,                72850,                  170
0f, 00000000, 00000000,                73015,                  165
11, b7c61a6f, 4839e590,                73186,                  171
11, 00000000, 00000000,                73350,                  164
17, 4b065b96, b4f9a469,                73520,                  170
17, 00000000, 00000000,                73685,                  165
18, dadc9ab5, 2523654a,                73855,                  170
18, 00000000, 00000000,                74019,                  164
04, b222b264, 4ddd4d9b,                74189,                  170
04, 00000000, 00000000,                74353,                  164
17, a3874e47, 5c78b1b8,                74524,                  171
17, 00000000, 00000000,                74689,                  165
10, 3c871179, c378ee86,                74859,                  170
10, 00000000, 00000000,                75023,                  164
15, c412ac88, 3bed5377,                75193,                  170
15, 00000000, 00000000,                75357,                  164
16, 621e83c4, 9de17c3b,                75527,                  170
16, 00000000, 00000000,                75692,                  165
1e, 04203d08, fbdfc2f7,                75862,                  170
1e, 00000000, 00000000,                76027,                  165
1f, 6358fbc6, 9ca70439,                76197,                  170
1f, 00000000, 00000000,                76361,                  164
1a, 39625d72, c69da28d,                76531,                  170
1a, 00000000, 00000000,                76696,                  165
10, 3c871179, c378ee86,                76866,                  170
10, 00000000, 00000000,                77030,                  164
10, 3c871179, c378ee86,                77200,                  170
10, 00000000, 00000000,                77364,                  164
07, 95ea0a2b, 6a15f5d4,                77534,                  170
07, 00000000, 00000000,                77699,                  165
10, 3c871179, c378ee86,                77870,                  171
10, 00000000, 00000000,                78034,                  164
0a, 8e4b9e1c, 71b461e3,                78205,                  171
0a, 00000000, 00000000,                78370,                  165
00, 088dc111, f7723eee,                78540,                  170
00, 00000000, 00000000,                78704,                  164
08, 0d63a11a, f29c5ee5,                78874,                  170
08, 00000000, 00000000,                79038,                  164
09, cdd0829b, 322f7d64,                79208,                  170
09, 00000000, 00000000,                79372,                  164
17, 0f11511e, f0eeaee1,                79543,                  171
17, 00000000, 00000000,                79708,                  165
01, c8eaea91, 3715156e,                79879,                  171
01, 00000000, 00000000,                80043,                  164
08, 9560462a, 6a9fb9d5,                80213,                  170
08, 00000000, 00000000,                80377,                  164
0a, 879d8e0f, 786271f0,                80547,                  170
0a, 00000000, 00000000,                80712,                  165
11, f8603cf0, 079fc30f,                80883,                  171
11, 00000000, 00000000,                81048,                  165
03, 89d6a413, 76295bec,                81218,                  170
03, 00000000, 00000000,                81383,                  165
10, 3c871179, c378ee86,                81554,                  171
10, 00000000, 00000000,                81718,                  164
10, 3c871179, c378ee86,                81888,                  170
10, 00000000, 00000000,                82052,                  164
06, 92747824, 6d8b87db,                82222,                  170
06, 00000000, 00000000,                82387,                  165
0c, 69ddafd3, 9622502c,                82557,                  170
0c, 00000000, 00000000,                82721,                  164
0e, 41644382, be9bbc7d,                82891,                  170
0e, 00000000, 00000000,                83056,                  165
06, 92747824, 6d8b87db,                83226,                  170
06, 00000000, 00000000,                83391,                  165
0e, 41644382, be9bbc7d,                83561,                  170
0e, 00000000, 00000000,                83726,                  165
04, ce83f89d, 317c0762,                83896,                  170
04, 00000000, 00000000,                84060,                  164
1d, eaec22d5, 1513dd2a,                84231,                  171
1d, 00000000, 00000000,                84395,                  164
05, d311a0a6, 2cee5f59,                84565,                  170
05, 00000000, 00000000,                84730,                  165
09, 89219412, 76de6bed,                84900,                  170
09, 00000000, 00000000,                85065,                  165
0f, 5f5133be, a0aecc41,                85235,                  170
0f, 00000000, 00000000,                85400,                  165
0d, 1258e324, eda71cdb,                85570,                  170
0d, 00000000, 00000000,                85734,                  164
06, c7ec608f, 38139f70,                85904,                  170
06, 00000000, 00000000,                86069,                  165
1d, 2eb7df5d, d14820a2,                86240,                  171
1d, 00000000, 00000000,                86404,                  164
04, ce83f89d, 317c0762,                86575,                  171
04, 00000000, 00000000,                86739,                  164
07, 95ea0a2b, 6a15f5d4,                86909,                  170
07, 00000000, 00000000,                87074,                  165
03, 89d6a413, 76295bec,                87244,                  170
03, 00000000, 00000000,                87409,                  165
06, c7ec608f, 38139f70,                87579,                  170
06, 00000000, 00000000,                87744,                  165
04, ce83f89d, 317c0762,                87914,                  170
04, 00000000, 00000000,                88078,                  164
0c, 69ddafd3, 9622502c,                88248,                  170
0c, 00000000, 00000000,                88412,                  164
11, 62edf7c5, 9d12083a,                88583,                  171
11, 00000000, 00000000,                88747,                  164
06, c7ec608f, 38139f70,                88918,                  171
06, 00000000, 00000000,                89083,                  165
13, a35d9046, 5ca26fb9,                89254,                  171
13, 00000000, 00000000,                89419,                  165
15, 85b0400b, 7a4fbff4,                89589,                  170
15, 00000000, 00000000,                89753,                  164
19, f9930ef3, 066cf10c,                89923,                  170
19, 00000000, 00000000,                90087,                  164
15, fe8d6cfd, 01729302,                90257,                  170
15, 00000000, 00000000,                90421,                  164
0e, fd0406fa, 02fbf905,                90592,                  171
0e, 00000000, 00000000,                90757,                  165
18, fec0d6fd, 013f2902,                90928,                  171
18, 00000000, 00000000,                91092,                  164
0d, 7b804df7, 847fb208,                91263,                  171
0d, 00000000, 00000000,                91427,                  164
08, 284b7150, d7b48eaf,                91597,                  170
08, 00000000, 00000000,                91761,                  164
04, ce83f89d, 317c0762,                91931,                  170
04, 00000000, 00000000,                92095,                  164
1a, 39625d72, c69da28d,                92266,                  171
1a, 00000000, 00000000,                92431,                  165
0f, 5f5133be, a0aecc41,                92602,                  171
0f, 00000000, 00000000,                92767,                  165
16, 621e83c4, 9de17c3b,                92938,                  171
16, 00000000, 00000000,                93103,                  165
0f, 5f5133be, a0aecc41,                93274,                  171
0f, 00000000, 00000000,                93439,                  165
0f, 5f5133be, a0aecc41,                93609,                  170
0f, 00000000, 00000000,                93774,                  165
12, 7680e3ed, 897f1c12,                93945,                  171
12, 00000000, 00000000,                94110,                  165
0a, 879d8e0f, 786271f0,                94281,                  171
0a, 00000000, 00000000,                94446,                  165
0b, 61363fc2, 9ec9c03d,                94616,                  170
0b, 00000000, 00000000,                94781,                  165
1c, 4aa75995, b558a66a,                94952,                  171
1c, 00000000, 00000000,                95116,                  164
1e, 23bcf747, dc4308b8,                95286,                  170
1e, 00000000, 00000000,                95450,                  164
06, 0286f905, fd7906fa,                95620,                  170
06, 00000000, 00000000,                95785,                  165
13, 7c059bf8, 83fa6407,                95956,                  171
13, 00000000, 00000000,                96121,                  165
17, 55258baa, aada7455,                96291,                  170
17, 00000000, 00000000,                96456,                  165
03, dd2a0eba, 22d5f145,                96627,                  171
03, 00000000, 00000000,                96792,                  165
06, 536c1fa6, ac93e059,                96962,                  170
06, 00000000, 00000000,                97127,                  165
05, 5ffa59bf, a005a640,                97297,                  170
05, 00000000, 00000000,                97461,                  164
06, 536c1fa6, ac93e059,                97631,                  170
06, 00000000, 00000000,                97796,                  165
0f, 5f5133be, a0aecc41,                97966,                  170
0f, 00000000, 00000000,                98131,                  165
07, 95ea0a2b, 6a15f5d4,                98301,                  170
07, 00000000, 00000000,                98466,                  165
12, 7680e3ed, 897f1c12,                98637,                  171
12, 00000000, 00000000,                98802,                  165
03, dd2a0eba, 22d5f145,                98973,                  171
03, 00000000, 00000000,                99138,                  165
1b, 59df6fb3, a620904c,                99309,                  171
1b, 00000000, 00000000,                99474,                  165
1a, 37c70b6f, c838f490,                99644,                  170
1a, 00000000, 00000000,                99809,                  165
13, 60c671c1, 9f398e3e,                99979,                  170
13, 00000000, 00000000,               100144,                  165
04, 5387d3a7, ac782c58,               100315,                  171
04, 00000000, 00000000,               100479,                  164
06, d1c9bca3, 2e36435c,               100649,                  170
06, 00000000, 00000000,               100814,                  165
18, 32e2af65, cd1d509a,               100985,                  171
18, 00000000, 00000000,               101149,                  164
0a, 1d0f993a, e2f066c5,               101319,                  170
0a, 00000000, 00000000,               101484,                  165
03, f2edfce5, 0d12031a,               101654,                  170
03, 00000000, 00000000,               101818,                  164
0c, a6cb164d, 5934e9b2,               101988,                  170
0c, 00000000, 00000000,               102152,                  164
03, 0b0ff116, f4f00ee9,               102322,                  170
03, 00000000, 00000000,               102487,                  165
16, 621e83c4, 9de17c3b,               102658,                  171
16, 00000000, 00000000,               102823,                  165
04, 5387d3a7, ac782c58,               102993,                  170
04, 00000000, 00000000,               103157,                  164
17, 55258baa, aada7455,               103328,                  171
17, 00000000, 00000000,               103493,                  165
10, aa79e054, 55861fab,               103663,                  170
