W_Addr, W1[31:0], W0[31:0], total_time(ps), write_delay(ps)
13, 098e2d13, f671d2ec,                82286,                  143
13, 00000000, 00000000,                82456,                  170
11, 32dc4165, cd23be9a,                82601,                  145
11, 00000000, 00000000,                82770,                  169
19, db983ab7, 2467c548,                82917,                  147
19, 00000000, 00000000,                83085,                  168
11, 9d12083a, 62edf7c5,                83231,                  146
11, 00000000, 00000000,                83400,                  169
04, 317c0762, ce83f89d,                83549,                  149
04, 00000000, 00000000,                83716,                  167
1d, 1513dd2a, eaec22d5,                83866,                  150
1d, 00000000, 00000000,                84034,                  168
05, 2cee5f59, d311a0a6,                84182,                  148
05, 00000000, 00000000,                84351,                  169
09, 76de6bed, 89219412,                84497,                  146
09, 00000000, 00000000,                84665,                  168
0f, a0aecc41, 5f5133be,                84809,                  144
0f, 00000000, 00000000,                84979,                  170
0d, eda71cdb, 1258e324,                85125,                  146
0d, 00000000, 00000000,                85293,                  168
06, 38139f70, c7ec608f,                85438,                  145
06, 00000000, 00000000,                85608,                  170
1d, d14820a2, 2eb7df5d,                85758,                  150
1d, 00000000, 00000000,                85926,                  168
1c, b555de6a, 4aaa2195,                86073,                  147
1c, 00000000, 00000000,                86240,                  167
1b, a86c5e50, 5793a1af,                86384,                  144
1b, 00000000, 00000000,                86554,                  170
18, 929d5825, 6d62a7da,                86701,                  147
18, 00000000, 00000000,                86868,                  167
1c, 7b7b89f6, 84847609,                87016,                  148
1c, 00000000, 00000000,                87183,                  167
19, 11cc9b23, ee3364dc,                87329,                  146
19, 00000000, 00000000,                87497,                  168
1b, 644605c8, 9bb9fa37,                87641,                  144
1b, 00000000, 00000000,                87811,                  170
13, 870cee0e, 78f311f1,                87954,                  143
13, 00000000, 00000000,                88124,                  170
0e, 0671030c, f98efcf3,                88272,                  148
0e, 00000000, 00000000,                88441,                  169
19, 6a1a61d4, 95e59e2b,                88591,                  150
19, 00000000, 00000000,                88759,                  168
13, 5ca26fb9, a35d9046,                88902,                  143
13, 00000000, 00000000,                89072,                  170
15, 7a4fbff4, 85b0400b,                89218,                  146
15, 00000000, 00000000,                89387,                  169
19, 066cf10c, f9930ef3,                89534,                  147
19, 00000000, 00000000,                89702,                  168
15, 01729302, fe8d6cfd,                89848,                  146
15, 00000000, 00000000,                90017,                  169
0e, 02fbf905, fd0406fa,                90165,                  148
0e, 00000000, 00000000,                90334,                  169
18, 013f2902, fec0d6fd,                90485,                  151
18, 00000000, 00000000,                90652,                  167
0d, 847fb208, 7b804df7,                90801,                  149
0d, 00000000, 00000000,                90969,                  168
08, d7b48eaf, 284b7150,                91116,                  147
08, 00000000, 00000000,                91283,                  167
15, 48590990, b7a6f66f,                91433,                  150
15, 00000000, 00000000,                91602,                  169
1b, a620904c, 59df6fb3,                91746,                  144
1b, 00000000, 00000000,                91916,                  170
05, a005a640, 5ffa59bf,                92065,                  149
05, 00000000, 00000000,                92234,                  169
10, 86ebb60d, 791449f2,                92384,                  150
10, 00000000, 00000000,                92551,                  167
09, 16cbf92d, e93406d2,                92700,                  149
09, 00000000, 00000000,                92868,                  168
10, 5e2551bc, a1daae43,                93018,                  150
10, 00000000, 00000000,                93185,                  167
10, 60272dc0, 9fd8d23f,                93331,                  146
10, 00000000, 00000000,                93498,                  167
0d, d0cf6aa1, 2f30955e,                93647,                  149
0d, 00000000, 00000000,                93815,                  168
15, faf32ef5, 050cd10a,                93965,                  150
15, 00000000, 00000000,                94133,                  168
14, aeeacc5d, 511533a2,                94279,                  146
